objective_value,dual_bound,solution,time,termination,nodes
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,1.1379786002407855e-14,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.8,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,2.7624999999999735,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,-1.1379786002407855e-14,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,3.1554436208840472e-30,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,5.689893001203927e-15,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,1.1379786002407855e-14,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-2.2759572004815712e-14,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,0.0,3.133738,OPTIMAL,1
0.0,0.0,-0.0,3.133738,OPTIMAL,1
